IssuingNetwork,CardNumber
American Express,374589899808943
American Express,344611028753332
American Express,348963426643359
American Express,375607991750117
American Express,373995194804597
American Express,340878629325398
American Express,342522023250012
American Express,374350571996633
American Express,375335211790966
American Express,375582362781837
American Express,341758159733212
American Express,345563438340458
American Express,343308448683840
American Express,376043223633765
American Express,344494169211729
American Express,340072684950494
American Express,347117485787182
American Express,379390203671688
American Express,349403131586642
American Express,346467318762063
American Express,343699093227960
American Express,345006643164461
American Express,348954575849053
American Express,349054358929302
American Express,344681132074354
American Express,343759283376009
American Express,377095016403466
American Express,379228972532741
American Express,343152118237713
American Express,344007736120718
American Express,347723873721897
American Express,377442739357381
American Express,370747966522532
American Express,340849114621682
American Express,348291898343815
American Express,345480283253613
American Express,340197025987028
American Express,343941276374171
American Express,348711907199049
American Express,374821994855077
American Express,375892556170972
American Express,374973424958649
American Express,340811272379693
American Express,373985708728820
American Express,376681749200666
American Express,342855821819111
American Express,340726853150745
American Express,340809310772572
American Express,375796202491379
American Express,376331120263269
American Express,373390985334238
American Express,373352567431808
American Express,376699137580176
American Express,340662621778519
American Express,343469384195197
American Express,377878720891237
American Express,376360911372575
American Express,371545992204474
American Express,346874329594627
American Express,370948646446072
American Express,343911795087497
American Express,346651821265587
American Express,340759822495156
American Express,343487271934742
American Express,372002367289960
American Express,377993262918858
American Express,372051420219779
American Express,347060956763755
American Express,340149690190834
American Express,375333625167897
American Express,378241228716258
American Express,343900861904180
American Express,342791296623722
American Express,340681702956026
American Express,373724447381793
American Express,372110574140528
American Express,340713223885861
American Express,375074171014014
American Express,374938915430770
American Express,371538453628299
American Express,343988707006104
American Express,347285853149242
American Express,370352222067693
American Express,344408465221281
American Express,342299167260723
American Express,347158923879751
American Express,377881525829816
American Express,344774212457365
American Express,371232511517526
American Express,348591760559277
American Express,345792980325498
American Express,374894934458997
American Express,348081170739891
American Express,373686003482291
American Express,342523937281382
American Express,370848600381960
American Express,379426955101712
American Express,371357323665104
American Express,377206283689360
American Express,375505711781695
